#{"t_start": 1744104159.0435402, "env_id": "None"}
r,l,t
11.0,11,3.373734
11.0,11,3.37898
12.0,12,3.37898
15.0,15,3.392392
14.0,14,3.392392
20.0,20,3.392392
9.0,9,3.407213
19.0,19,3.411007
42.0,42,3.416731
14.0,14,3.416731
20.0,20,3.421354
21.0,21,3.421354
15.0,15,3.421354
15.0,15,3.421354
14.0,14,3.437323
43.0,43,3.458658
32.0,32,3.459373
14.0,14,3.46852
15.0,15,3.46852
41.0,41,3.477754
52.0,52,3.477754
10.0,10,3.478894
22.0,22,3.489754
23.0,23,3.495343
26.0,26,3.500921
38.0,38,3.514409
17.0,17,3.519451
18.0,18,3.519451
12.0,12,3.52403
10.0,10,3.527279
45.0,45,3.537607
11.0,11,3.539616
26.0,26,3.539616
17.0,17,3.551278
11.0,11,3.561338
24.0,24,3.562065
28.0,28,3.567394
29.0,29,3.578387
30.0,30,3.599492
20.0,20,3.599492
18.0,18,3.615445
21.0,21,3.615445
9.0,9,3.615445
14.0,14,3.615445
73.0,73,3.615445
78.0,78,3.635066
14.0,14,3.635066
25.0,25,3.663101
42.0,42,3.665484
48.0,48,3.665484
38.0,38,3.665484
14.0,14,3.665484
12.0,12,9.415079
15.0,15,9.430985
17.0,17,9.430985
14.0,14,9.430985
20.0,20,9.430985
18.0,18,9.447051
32.0,32,9.447051
40.0,40,9.447051
29.0,29,9.462957
27.0,27,9.478715
56.0,56,9.478715
20.0,20,9.494562
91.0,91,9.494562
36.0,36,9.510498
37.0,37,9.510498
83.0,83,9.510498
19.0,19,9.526357
29.0,29,9.526357
38.0,38,9.526357
8.0,8,9.526357
15.0,15,9.542232
23.0,23,9.542232
22.0,22,9.542232
19.0,19,9.558144
39.0,39,9.558144
30.0,30,9.573926
15.0,15,9.573926
35.0,35,9.573926
13.0,13,9.590112
21.0,21,9.590112
102.0,102,9.590112
18.0,18,9.590112
16.0,16,9.590112
23.0,23,9.606219
24.0,24,9.606219
14.0,14,9.622159
42.0,42,9.622159
51.0,51,9.622159
55.0,55,9.637937
37.0,37,9.637937
28.0,28,9.653736
23.0,23,9.653736
22.0,22,9.673913
37.0,37,9.675598
67.0,67,9.680588
20.0,20,9.680588
13.0,13,9.685747
36.0,36,9.685747
25.0,25,9.701643
17.0,17,9.701643
16.0,16,9.701643
21.0,21,9.717571
67.0,67,9.717571
60.0,60,9.749591
50.0,50,9.749591
19.0,19,9.765328
57.0,57,9.765328
131.0,131,9.765328
16.0,16,9.781323
26.0,26,9.781323
49.0,49,9.796981
14.0,14,9.796981
48.0,48,9.812859
55.0,55,9.828654
43.0,43,9.828654
104.0,104,9.844586
41.0,41,9.844586
20.0,20,9.844586
14.0,14,9.844586
15.0,15,9.86124
15.0,15,9.86124
32.0,32,9.876183
32.0,32,9.877109
19.0,19,9.884632
88.0,88,9.893687
12.0,12,9.893687
21.0,21,9.908883
48.0,48,9.908883
57.0,57,9.924769
28.0,28,9.924769
10.0,10,9.924769
11.0,11,9.940604
47.0,47,9.956652
19.0,19,9.956652
65.0,65,9.972577
19.0,19,9.972577
19.0,19,9.988396
62.0,62,9.988396
26.0,26,10.020274
20.0,20,10.035279
67.0,67,10.051706
23.0,23,10.068289
14.0,14,10.077001
45.0,45,10.080342
29.0,29,10.113538
41.0,41,10.127267
18.0,18,10.143843
13.0,13,10.146421
53.0,53,10.160403
107.0,107,10.166349
17.0,17,10.185889
29.0,29,10.185889
40.0,40,10.216013
77.0,77,10.235123
49.0,49,10.235123
62.0,62,10.243577
28.0,28,10.252056
57.0,57,10.26025
25.0,25,10.26025
17.0,17,10.26025
18.0,18,10.27603
45.0,45,10.29179
16.0,16,10.29179
10.0,10,10.29179
25.0,25,10.307755
109.0,109,10.307755
36.0,36,10.323699
35.0,35,10.323699
34.0,34,10.339657
28.0,28,10.339657
121.0,121,10.339657
23.0,23,10.355767
31.0,31,10.355767
22.0,22,10.371552
38.0,38,10.382019
29.0,29,10.382019
16.0,16,10.393936
51.0,51,10.402313
26.0,26,10.402313
12.0,12,10.410343
27.0,27,10.418021
20.0,20,10.418021
44.0,44,10.418021
11.0,11,10.418021
26.0,26,10.449824
39.0,39,10.449824
33.0,33,10.449824
37.0,37,10.497426
22.0,22,10.524063
101.0,101,10.533923
84.0,84,10.533923
88.0,88,10.545506
30.0,30,10.562029
24.0,24,10.562734
39.0,39,10.580358
56.0,56,10.595153
40.0,40,10.595153
14.0,14,10.613461
32.0,32,10.62379
23.0,23,10.64475
90.0,90,10.661319
58.0,58,10.661319
19.0,19,10.677931
52.0,52,10.694933
75.0,75,10.703143
41.0,41,10.711396
13.0,13,10.711396
11.0,11,10.711396
21.0,21,10.711396
56.0,56,10.733227
29.0,29,10.74511
26.0,26,10.74511
43.0,43,10.760727
26.0,26,10.760727
17.0,17,10.760727
55.0,55,10.794709
29.0,29,10.794709
34.0,34,10.794709
35.0,35,10.794709
29.0,29,10.82219
16.0,16,10.837966
52.0,52,10.84432
10.0,10,10.84432
14.0,14,10.854846
65.0,65,10.854846
20.0,20,10.869509
20.0,20,10.877816
9.0,9,10.885326
98.0,98,10.887332
25.0,25,10.909371
24.0,24,10.911703
44.0,44,10.911703
79.0,79,10.911703
9.0,9,10.927833
18.0,18,10.927833
27.0,27,10.927833
27.0,27,10.943514
14.0,14,10.944864
15.0,15,10.947757
10.0,10,10.947757
17.0,17,10.961538
42.0,42,10.961538
36.0,36,10.977822
30.0,30,10.989002
26.0,26,10.989002
22.0,22,10.993929
59.0,59,11.004847
23.0,23,11.010811
23.0,23,11.010811
14.0,14,11.010811
27.0,27,11.04066
28.0,28,11.046896
39.0,39,11.052075
15.0,15,11.061265
77.0,77,11.061265
13.0,13,11.061265
40.0,40,11.078096
15.0,15,11.078096
29.0,29,11.078096
18.0,18,11.098396
42.0,42,11.10758
40.0,40,11.111831
22.0,22,11.123394
50.0,50,11.123394
16.0,16,11.127946
11.0,11,11.144502
15.0,15,11.161256
52.0,52,11.161256
66.0,66,11.161256
13.0,13,11.171441
59.0,59,11.171441
29.0,29,11.187098
18.0,18,11.187098
29.0,29,11.187098
19.0,19,11.187098
